OTU,Size,Taxonomy
Otu0067,1778,k__Fungi(100);p__Ascomycota(85);p__Ascomycota_unclassified(85);p__Ascomycota_unclassified(85);p__Ascomycota_unclassified(85);p__Ascomycota_unclassified(85);p__Ascomycota_unclassified(85);
Otu0068,1773,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);o__Capnodiales_unclassified(100);o__Capnodiales_unclassified(100);o__Capnodiales_unclassified(100);
Otu0069,1770,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_sp(80);
Otu0070,1742,k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(97);p__Ascomycota_unclassified(97);p__Ascomycota_unclassified(97);p__Ascomycota_unclassified(97);p__Ascomycota_unclassified(97);
Otu0071,1645,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(93);c__Sordariomycetes_unclassified(93);c__Sordariomycetes_unclassified(93);c__Sordariomycetes_unclassified(93);c__Sordariomycetes_unclassified(93);
Otu0072,1636,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);g__Basidiobolus_unclassified(80);
Otu0073,1628,k__Fungi(100);p__unclassified_Fungi(100);c__unclassified_Fungi(100);o__unclassified_Fungi(100);f__unclassified_Fungi(100);g__unclassified_Fungi(100);s__Neopestalotiopsis_foedans(100);
Otu0074,1571,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);f__Mycosphaerellaceae(100);g__Ramularia(82);g__Ramularia_unclassified(82);
Otu0075,1554,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Mucorales(100);f__Mucoraceae(100);g__Mucor(100);g__Mucor_unclassified(100);
Otu0076,1541,k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);
Otu0077,1519,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);c__Sordariomycetes_unclassified(100);c__Sordariomycetes_unclassified(100);c__Sordariomycetes_unclassified(100);c__Sordariomycetes_unclassified(100);
Otu0078,1456,k__Fungi(100);p__Ascomycota(57);p__Ascomycota_unclassified(57);p__Ascomycota_unclassified(57);p__Ascomycota_unclassified(57);p__Ascomycota_unclassified(57);p__Ascomycota_unclassified(57);
Otu0079,1419,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_sp(99);
Otu0080,1409,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_sp(97);
Otu0081,1402,k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Helotiales(100);f__Helotiales_family_Incertae_sedis(100);g__Scytalidium(100);s__Scytalidium_lignicola(100);
Otu0082,1395,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Pleosporales_family_Incertae_sedis(100);f__Pleosporales_family_Incertae_sedis_unclassified(100);f__Pleosporales_family_Incertae_sedis_unclassified(100);
Otu0083,1392,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);o__Capnodiales_unclassified(100);o__Capnodiales_unclassified(100);o__Capnodiales_unclassified(100);
Otu0084,1364,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Cordycipitaceae(100);g__Simplicillium(100);g__Simplicillium_unclassified(100);
Otu0085,1362,k__Fungi(100);p__Ascomycota(89);p__Ascomycota_unclassified(89);p__Ascomycota_unclassified(89);p__Ascomycota_unclassified(89);p__Ascomycota_unclassified(89);p__Ascomycota_unclassified(89);
Otu0086,1359,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);f__Mycosphaerellaceae(100);g__Mycosphaerella(99);s__Mycosphaerella_rubella(94);
Otu0087,1336,k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);
Otu0088,1335,k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Helotiales(100);f__Helotiales_family_Incertae_sedis(100);g__Scytalidium(99);s__Scytalidium_sp(95);
Otu0089,1329,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Xylariales(100);f__Xylariaceae(100);g__Virgaria(100);s__Virgaria_sp(100);
Otu0090,1308,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(87);c__Sordariomycetes_unclassified(87);c__Sordariomycetes_unclassified(87);c__Sordariomycetes_unclassified(87);c__Sordariomycetes_unclassified(87);
Otu0091,1301,k__Fungi(100);k__Fungi_unclassified(98);k__Fungi_unclassified(98);k__Fungi_unclassified(98);k__Fungi_unclassified(98);k__Fungi_unclassified(98);k__Fungi_unclassified(98);
Otu0092,1276,k__Fungi(100);k__Fungi_unclassified(94);k__Fungi_unclassified(94);k__Fungi_unclassified(94);k__Fungi_unclassified(94);k__Fungi_unclassified(94);k__Fungi_unclassified(94);
Otu0093,1267,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);o__Capnodiales_unclassified(100);o__Capnodiales_unclassified(100);o__Capnodiales_unclassified(100);
Otu0094,1211,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Coniochaetales(100);f__Coniochaetales_family_Incertae_sedis(100);g__Pseudobotrytis(100);s__Pseudobotrytis_terrestris(100);
Otu0095,1170,k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);
Otu0096,1153,k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Helotiales(97);o__Helotiales_unclassified(97);o__Helotiales_unclassified(97);o__Helotiales_unclassified(97);
Otu0097,1152,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Mortierellales(100);f__Mortierellaceae(100);g__Mortierella(100);s__Mortierella_globulifera(100);
Otu0098,1151,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Nectriaceae(100);g__Mariannaea(100);s__Mariannaea_superimposita(100);
Otu0099,1146,k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Eurotiales(100);f__Trichocomaceae(100);g__Penicillium(100);s__Penicillium_janczewski(100);
Otu0100,1133,k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);
Otu0101,1118,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Hypocreales_family_Incertae_sedis(100);f__Hypocreales_family_Incertae_sedis_unclassified(74);f__Hypocreales_family_Incertae_sedis_unclassified(74);
