,kingdom,phylum,class,order,family,genus
ASV_138,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,NA
ASV_139,Bacteria,NA,NA,NA,NA,NA
ASV_140,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,NA
ASV_141,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,NA,NA
ASV_142,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_143,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_144,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1
ASV_145,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella
ASV_146,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA
ASV_147,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,NA
ASV_148,Bacteria,Verrucomicrobiota,Verrucomicrobiae,NA,NA,NA
ASV_149,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_150,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,NA
ASV_151,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella
ASV_152,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,NA
ASV_153,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_154,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Gordonibacter
ASV_155,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_156,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,NA
ASV_157,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Angelakisella
ASV_158,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV_159,Bacteria,Firmicutes,Clostridia,Lachnospirales,NA,NA
ASV_160,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_161,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA
ASV_162,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Breznakia
ASV_163,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,NA,NA
ASV_165,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_166,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,NA
ASV_168,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_169,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_170,Bacteria,Firmicutes,Clostridia,Oscillospirales,[Eubacterium] coprostanoligenes group,NA
ASV_171,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_172,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NA
ASV_173,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV_174,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Paraclostridium
ASV_175,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_176,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,NA
ASV_177,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_178,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,NA
ASV_179,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1
ASV_180,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,NA
ASV_181,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter
ASV_182,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
ASV_183,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1
ASV_184,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,NA
ASV_186,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_187,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_188,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Rickettsiella
ASV_189,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,NA
ASV_190,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA
ASV_191,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NA
ASV_192,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter
ASV_193,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,NA
ASV_194,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_195,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1
ASV_196,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella
ASV_197,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA
ASV_198,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,NA
ASV_199,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Robinsoniella
ASV_200,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Bilophila
ASV_201,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_202,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_203,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_204,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,NA
ASV_205,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Oscillospira
ASV_206,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter
ASV_207,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_208,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_209,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
ASV_210,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Incertae Sedis
ASV_211,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NA
ASV_212,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1
ASV_213,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_214,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_215,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_216,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,NA
ASV_217,Bacteria,Firmicutes,Clostridia,Oscillospirales,NA,NA
ASV_218,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rs-E47 termite group,NA
ASV_219,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna
ASV_220,Bacteria,Firmicutes,Clostridia,Oscillospirales,NA,NA
ASV_221,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,NA,NA
ASV_222,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,NA
ASV_223,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA
ASV_224,Bacteria,Firmicutes,Bacilli,Mycoplasmatales,Mycoplasmataceae,Mycoplasma
ASV_225,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
ASV_226,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_227,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Turicibacter
ASV_228,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,NA,NA
ASV_229,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Mucinivorans
ASV_230,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,NA
ASV_231,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV_232,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella
ASV_233,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,NA
ASV_234,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_235,Bacteria,Firmicutes,Clostridia,NA,NA,NA
ASV_236,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA
ASV_237,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,NA
ASV_238,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_239,Bacteria,Firmicutes,Bacilli,Bacillales,NA,NA
ASV_240,Bacteria,Cyanobacteria,Vampirivibrionia,Gastranaerophilales,NA,NA
ASV_241,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NA
ASV_242,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_243,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Natranaerovirga
ASV_244,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,[Clostridium] innocuum group
ASV_245,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia
ASV_246,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Faecalitalea
ASV_247,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_248,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV_249,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_250,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter
ASV_251,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,NA
ASV_252,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_253,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
ASV_254,Bacteria,Cyanobacteria,Vampirivibrionia,Gastranaerophilales,NA,NA
ASV_255,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_256,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,NA
ASV_257,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia
ASV_258,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,NA
ASV_259,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides
