,Kingdom,Phylum,Class,Order,Family,Genus
ASV_4956,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Bionectriaceae,g__Geosmithia
ASV_4957,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium
ASV_4958,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella
ASV_4959,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Westerdykella
ASV_4960,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Tubeufiales,f__Tubeufiaceae,g__Helicoma
ASV_4961,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,g__Ramularia
ASV_4962,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,NA,NA
ASV_4963,k__Fungi,p__Ascomycota,c__Dothideomycetes,NA,NA,NA
ASV_4964,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Trichocomaceae,g__Talaromyces
ASV_4965,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_4967,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_4968,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_4969,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_4970,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Meruliaceae,NA
ASV_4971,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Phaffomycetaceae,g__Cyberlindnera
ASV_4972,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_4973,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_4974,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_4975,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Hamigera
ASV_4976,k__Fungi,p__Basidiomycota,c__Agaricomycetes,NA,NA,NA
ASV_4977,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_4978,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,NA,NA
ASV_4979,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Teratosphaeriaceae,g__Capnobotryella
ASV_4980,k__Fungi,p__Olpidiomycota,c__GS18,o__GS18,NA,NA
ASV_4981,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_4982,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Stachybotryaceae,g__Memnoniella
ASV_4983,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA
ASV_4984,k__Fungi,p__Basidiomycota,c__Agaricostilbomycetes,o__Agaricostilbales,NA,NA
ASV_4985,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella
ASV_4986,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_4987,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Cordycipitaceae,g__Lecanicillium
